id,name,coordinates
7,西安-郑州-武汉,"[[""34.345408"",?""108.945194""],?[""34.753091"",?""113.630756""],?[""30.59816"",?""114.312606""]]"
8,成都-北京-上海,"[['30.662205',?'104.071887'],?['39.92',?'116.46'],?['31.2303904',?'121.4737021']]"
